,2017-11-06,2017-11-13,2017-11-20,2017-11-27,2017-12-04,2017-12-11,2017-12-18,2017-12-25,2018-01-01,2018-01-08,2018-01-15,2018-01-22,2018-01-29,2018-02-05,2018-02-12,2018-02-19,2018-02-26,2018-03-05,2018-03-12,2018-03-19,2018-03-26,2018-04-02,2018-04-09,2018-04-16,2018-04-23,2018-04-30
instanton,48.0,46,53.0,55.0,59.0,62.0,63.0,63.0,63.0,64.0,68.0,65.0,64.0,61.0,60.0,62.0,61.0,64.0,64.0,67.0,68.0,69.0,67.0,67.0,67.0,71.0
poincare,51.0,51,49.0,52.0,54.0,53.0,57.0,58.0,57.0,57.0,61.0,60.0,57.0,64.0,58.0,56.0,56.0,55.0,52.0,51.0,52.0,57.0,64.0,66.0,69.0,68.0
earlier,43.0,44,47.0,46.0,48.0,49.0,49.0,50.0,52.0,52.0,51.0,50.0,51.0,51.0,54.0,53.0,55.0,58.0,62.0,61.0,61.0,63.0,63.0,64.0,68.0,68.0
baryon,52.0,55,62.0,62.0,62.0,52.0,49.0,58.0,62.0,59.0,55.0,53.0,54.0,55.0,60.0,64.0,66.0,61.0,61.0,61.0,64.0,66.0,67.0,66.0,68.0,67.0
kerr,48.0,50,47.0,44.0,46.0,42.0,43.0,46.0,47.0,45.0,45.0,41.0,43.0,44.0,45.0,44.0,45.0,43.0,48.0,54.0,55.0,51.0,53.0,59.0,66.0,67.0
iib,53.0,57,60.0,60.0,60.0,59.0,66.0,70.0,70.0,72.0,70.0,71.0,72.0,72.0,72.0,74.0,75.0,75.0,68.0,72.0,73.0,72.0,73.0,72.0,70.0,66.0
kahler,53.0,56,56.0,59.0,63.0,64.0,57.0,58.0,58.0,58.0,56.0,59.0,56.0,56.0,54.0,51.0,47.0,47.0,45.0,46.0,50.0,52.0,47.0,55.0,57.0,61.0
brst,51.0,50,56.0,57.0,55.0,56.0,61.0,61.0,61.0,62.0,63.0,59.0,59.0,62.0,62.0,66.0,63.0,65.0,65.0,68.0,70.0,69.0,69.0,53.0,54.0,61.0
scfts,17.0,19,17.0,18.0,21.0,28.0,27.0,28.0,29.0,30.0,37.0,35.0,35.0,33.0,33.0,36.0,37.0,44.0,44.0,44.0,46.0,46.0,46.0,55.0,56.0,60.0
quasinormal,49.0,52,50.0,50.0,49.0,54.0,55.0,60.0,63.0,62.0,65.0,59.0,59.0,60.0,56.0,54.0,57.0,54.0,47.0,48.0,52.0,56.0,58.0,59.0,61.0,59.0
fourpoint,41.0,44,52.0,54.0,53.0,57.0,57.0,59.0,57.0,58.0,58.0,57.0,58.0,59.0,60.0,61.0,58.0,60.0,61.0,57.0,60.0,62.0,64.0,66.0,61.0,58.0
hooft,37.0,41,44.0,44.0,51.0,47.0,48.0,47.0,44.0,46.0,46.0,46.0,44.0,43.0,45.0,50.0,50.0,52.0,54.0,54.0,57.0,57.0,59.0,60.0,59.0,58.0
fermi,33.0,36,37.0,36.0,39.0,39.0,33.0,41.0,41.0,41.0,44.0,45.0,43.0,43.0,45.0,45.0,45.0,45.0,47.0,47.0,48.0,47.0,51.0,52.0,58.0,58.0
lowenergy,64.0,66,67.0,67.0,69.0,69.0,65.0,67.0,63.0,62.0,65.0,64.0,63.0,61.0,59.0,59.0,60.0,58.0,54.0,54.0,56.0,56.0,53.0,53.0,58.0,57.0
energymomentum,49.0,46,46.0,53.0,54.0,55.0,53.0,53.0,53.0,53.0,50.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,53.0,54.0,52.0,58.0,59.0,58.0,56.0
holography,60.0,58,58.0,59.0,60.0,63.0,60.0,61.0,63.0,62.0,61.0,59.0,58.0,59.0,56.0,58.0,60.0,56.0,55.0,55.0,50.0,55.0,58.0,57.0,56.0,56.0
timedependent,43.0,37,39.0,41.0,36.0,36.0,35.0,42.0,43.0,44.0,44.0,42.0,42.0,45.0,44.0,47.0,48.0,48.0,49.0,55.0,53.0,50.0,50.0,51.0,53.0,55.0
worldsheet,47.0,56,57.0,61.0,59.0,57.0,58.0,60.0,60.0,60.0,58.0,57.0,57.0,56.0,56.0,55.0,55.0,53.0,52.0,54.0,54.0,57.0,57.0,54.0,49.0,55.0
spinors,49.0,46,46.0,46.0,44.0,42.0,42.0,42.0,42.0,41.0,40.0,40.0,52.0,50.0,52.0,57.0,58.0,64.0,60.0,60.0,60.0,61.0,62.0,61.0,57.0,54.0
slowroll,51.0,51,51.0,53.0,52.0,53.0,52.0,56.0,59.0,56.0,54.0,51.0,50.0,50.0,52.0,54.0,56.0,54.0,50.0,48.0,49.0,48.0,48.0,51.0,56.0,54.0
qed,43.0,38,40.0,40.0,37.0,36.0,34.0,38.0,40.0,42.0,38.0,39.0,41.0,44.0,46.0,48.0,49.0,47.0,49.0,50.0,49.0,49.0,48.0,48.0,52.0,54.0
qft,17.0,19,20.0,22.0,26.0,28.0,32.0,41.0,39.0,37.0,37.0,37.0,35.0,35.0,35.0,40.0,41.0,45.0,46.0,45.0,46.0,47.0,45.0,50.0,49.0,53.0
compactification,44.0,43,44.0,44.0,45.0,43.0,47.0,47.0,46.0,41.0,40.0,38.0,41.0,41.0,40.0,42.0,41.0,41.0,49.0,51.0,54.0,56.0,53.0,52.0,54.0,52.0
sm,18.0,16,19.0,22.0,23.0,22.0,18.0,18.0,20.0,20.0,30.0,30.0,30.0,32.0,35.0,35.0,36.0,36.0,36.0,38.0,52.0,52.0,54.0,54.0,52.0,52.0
sym,39.0,38,42.0,40.0,40.0,42.0,40.0,44.0,43.0,43.0,43.0,42.0,42.0,41.0,44.0,46.0,49.0,51.0,50.0,50.0,49.0,49.0,50.0,54.0,51.0,52.0
onshell,38.0,38,41.0,39.0,40.0,40.0,42.0,48.0,51.0,51.0,51.0,49.0,49.0,50.0,53.0,56.0,57.0,51.0,50.0,50.0,52.0,51.0,52.0,53.0,51.0,52.0
ricci,34.0,36,37.0,38.0,38.0,38.0,37.0,40.0,46.0,45.0,41.0,45.0,43.0,46.0,45.0,45.0,43.0,43.0,43.0,42.0,41.0,42.0,47.0,47.0,49.0,52.0
compactifications,53.0,54,53.0,53.0,53.0,51.0,54.0,67.0,63.0,61.0,60.0,56.0,55.0,55.0,54.0,57.0,54.0,53.0,50.0,52.0,55.0,56.0,55.0,53.0,50.0,50.0
scalartensor,31.0,33,37.0,38.0,39.0,42.0,44.0,45.0,45.0,42.0,43.0,41.0,43.0,43.0,43.0,43.0,47.0,47.0,48.0,50.0,50.0,50.0,55.0,54.0,49.0,49.0
superstring,40.0,38,39.0,43.0,42.0,38.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,45.0,48.0,52.0,51.0,44.0,50.0,49.0,51.0,48.0,45.0,49.0,49.0
antide,58.0,60,59.0,57.0,58.0,59.0,58.0,57.0,61.0,60.0,57.0,61.0,60.0,62.0,60.0,59.0,60.0,56.0,51.0,53.0,50.0,48.0,48.0,50.0,50.0,48.0
wellknown,37.0,35,35.0,33.0,33.0,34.0,37.0,35.0,35.0,35.0,34.0,34.0,35.0,39.0,40.0,41.0,43.0,41.0,43.0,43.0,40.0,41.0,42.0,46.0,48.0,48.0
spacelike,24.0,26,27.0,25.0,26.0,29.0,29.0,28.0,31.0,35.0,35.0,33.0,32.0,32.0,29.0,31.0,33.0,37.0,39.0,37.0,36.0,39.0,39.0,45.0,47.0,46.0
schrodinger,28.0,28,27.0,25.0,24.0,26.0,27.0,28.0,26.0,27.0,28.0,28.0,30.0,32.0,38.0,38.0,39.0,40.0,43.0,45.0,46.0,46.0,45.0,46.0,46.0,46.0
gluon,56.0,57,52.0,49.0,49.0,48.0,41.0,40.0,41.0,42.0,42.0,41.0,38.0,41.0,40.0,40.0,43.0,40.0,41.0,44.0,45.0,40.0,44.0,43.0,46.0,46.0
superpotential,28.0,27,27.0,27.0,39.0,42.0,42.0,44.0,42.0,41.0,40.0,40.0,36.0,36.0,36.0,36.0,36.0,39.0,41.0,40.0,42.0,44.0,45.0,43.0,44.0,46.0
tduality,50.0,49,45.0,44.0,44.0,46.0,50.0,50.0,46.0,44.0,44.0,44.0,41.0,41.0,40.0,38.0,40.0,39.0,40.0,46.0,50.0,49.0,49.0,50.0,46.0,45.0
ftheory,45.0,45,47.0,48.0,48.0,47.0,47.0,52.0,42.0,39.0,39.0,40.0,42.0,43.0,43.0,43.0,47.0,47.0,46.0,52.0,50.0,50.0,46.0,44.0,45.0,44.0
gr,29.0,29,35.0,29.0,34.0,31.0,30.0,30.0,30.0,29.0,27.0,27.0,27.0,29.0,30.0,29.0,28.0,29.0,29.0,29.0,29.0,29.0,41.0,44.0,44.0,44.0
mellin,15.0,17,18.0,25.0,26.0,27.0,27.0,32.0,33.0,33.0,33.0,33.0,38.0,39.0,39.0,39.0,39.0,40.0,40.0,43.0,43.0,39.0,42.0,42.0,41.0,44.0
firstorder,39.0,38,39.0,39.0,38.0,37.0,39.0,42.0,41.0,42.0,36.0,35.0,35.0,34.0,33.0,36.0,35.0,38.0,40.0,37.0,39.0,38.0,38.0,39.0,44.0,43.0
lowest,52.0,55,55.0,56.0,52.0,49.0,49.0,46.0,48.0,48.0,49.0,46.0,45.0,46.0,48.0,48.0,49.0,50.0,46.0,46.0,46.0,48.0,46.0,44.0,44.0,42.0
iia,32.0,30,30.0,33.0,36.0,33.0,37.0,41.0,41.0,41.0,40.0,36.0,34.0,39.0,39.0,46.0,46.0,45.0,42.0,44.0,43.0,44.0,43.0,43.0,41.0,42.0
kaluzaklein,24.0,27,27.0,28.0,29.0,30.0,30.0,29.0,32.0,34.0,35.0,38.0,38.0,38.0,36.0,38.0,42.0,43.0,42.0,41.0,39.0,39.0,42.0,42.0,41.0,42.0
frac,24.0,24,24.0,24.0,24.0,17.0,17.0,19.0,18.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,46.0,47.0,47.0,41.0,41.0,40.0,40.0,40.0,41.0,42.0
gravitons,53.0,54,57.0,58.0,60.0,59.0,56.0,55.0,55.0,55.0,57.0,51.0,50.0,51.0,48.0,46.0,48.0,45.0,43.0,43.0,40.0,40.0,45.0,44.0,42.0,41.0
orbifold,45.0,45,47.0,46.0,47.0,49.0,48.0,51.0,52.0,53.0,52.0,49.0,47.0,44.0,42.0,41.0,41.0,37.0,36.0,36.0,37.0,33.0,37.0,40.0,42.0,41.0
offshell,48.0,45,48.0,50.0,51.0,52.0,49.0,51.0,50.0,45.0,45.0,45.0,43.0,41.0,42.0,39.0,41.0,43.0,45.0,46.0,47.0,46.0,43.0,41.0,40.0,40.0
simplest,46.0,46,48.0,50.0,50.0,50.0,49.0,49.0,48.0,47.0,47.0,47.0,47.0,47.0,48.0,52.0,49.0,50.0,45.0,46.0,45.0,42.0,42.0,40.0,40.0,40.0
iii,22.0,21,20.0,20.0,20.0,25.0,23.0,26.0,28.0,28.0,29.0,26.0,27.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0,34.0,36.0,36.0,36.0,40.0,40.0
treelevel,42.0,42,40.0,42.0,43.0,42.0,40.0,41.0,37.0,38.0,37.0,37.0,38.0,37.0,39.0,40.0,42.0,43.0,43.0,43.0,43.0,43.0,42.0,40.0,37.0,40.0
electroweak,40.0,41,46.0,48.0,43.0,43.0,40.0,38.0,40.0,39.0,39.0,38.0,34.0,33.0,32.0,32.0,34.0,39.0,40.0,35.0,40.0,38.0,36.0,35.0,37.0,40.0
horndeski,46.0,43,45.0,43.0,44.0,44.0,42.0,42.0,44.0,45.0,40.0,37.0,42.0,42.0,39.0,39.0,38.0,39.0,38.0,38.0,45.0,44.0,45.0,47.0,42.0,39.0
emph,25.0,25,25.0,24.0,24.0,20.0,22.0,24.0,22.0,22.0,23.0,29.0,31.0,31.0,38.0,35.0,37.0,37.0,37.0,35.0,33.0,33.0,33.0,38.0,40.0,39.0
et,31.0,33,30.0,31.0,32.0,32.0,32.0,31.0,32.0,34.0,35.0,33.0,32.0,34.0,37.0,37.0,40.0,42.0,39.0,41.0,42.0,42.0,41.0,41.0,39.0,39.0
superspace,30.0,31,26.0,29.0,29.0,28.0,34.0,32.0,35.0,29.0,28.0,28.0,30.0,30.0,31.0,31.0,32.0,36.0,32.0,33.0,35.0,36.0,36.0,37.0,38.0,39.0
gaugeinvariant,38.0,39,39.0,40.0,41.0,38.0,39.0,40.0,42.0,41.0,41.0,42.0,42.0,42.0,43.0,42.0,44.0,42.0,42.0,45.0,44.0,45.0,37.0,40.0,40.0,38.0
manybody,47.0,48,52.0,47.0,46.0,49.0,51.0,52.0,52.0,50.0,54.0,54.0,54.0,57.0,57.0,57.0,57.0,57.0,56.0,58.0,57.0,52.0,41.0,39.0,39.0,38.0
lorentzian,33.0,37,38.0,37.0,38.0,38.0,40.0,41.0,39.0,38.0,40.0,40.0,43.0,45.0,45.0,43.0,43.0,41.0,39.0,40.0,39.0,39.0,40.0,38.0,37.0,38.0
twoloop,34.0,37,36.0,36.0,37.0,38.0,38.0,40.0,40.0,40.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,43.0,42.0,38.0,35.0,36.0,33.0,38.0,37.0,38.0
unruh,27.0,24,24.0,24.0,24.0,24.0,24.0,26.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,23.0,17.0,21.0,23.0,23.0,29.0,32.0,30.0,38.0
noether,24.0,25,26.0,28.0,33.0,34.0,33.0,38.0,38.0,37.0,37.0,36.0,41.0,41.0,39.0,39.0,37.0,36.0,42.0,42.0,41.0,41.0,41.0,42.0,40.0,37.0
timelike,21.0,21,17.0,17.0,17.0,20.0,19.0,21.0,24.0,26.0,26.0,28.0,30.0,30.0,29.0,29.0,32.0,33.0,32.0,31.0,35.0,37.0,37.0,37.0,39.0,37.0
neumann,22.0,25,26.0,26.0,30.0,29.0,29.0,30.0,30.0,30.0,32.0,29.0,28.0,30.0,31.0,38.0,39.0,40.0,40.0,40.0,40.0,38.0,37.0,38.0,38.0,37.0
ising,41.0,41,38.0,36.0,39.0,41.0,39.0,42.0,38.0,38.0,38.0,31.0,33.0,33.0,40.0,40.0,41.0,42.0,41.0,39.0,39.0,41.0,39.0,37.0,37.0,37.0
gaussbonnet,44.0,35,35.0,35.0,37.0,45.0,45.0,43.0,40.0,40.0,39.0,39.0,37.0,40.0,38.0,36.0,34.0,35.0,36.0,37.0,32.0,32.0,36.0,37.0,37.0,37.0
renormalisation,24.0,23,38.0,39.0,41.0,40.0,41.0,41.0,43.0,43.0,43.0,46.0,47.0,40.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,39.0,35.0,37.0
virasoro,38.0,37,34.0,35.0,35.0,38.0,39.0,45.0,45.0,45.0,45.0,41.0,36.0,35.0,34.0,33.0,34.0,34.0,32.0,32.0,32.0,34.0,37.0,37.0,38.0,36.0
welldefined,20.0,20,20.0,20.0,23.0,25.0,25.0,26.0,27.0,28.0,29.0,29.0,32.0,33.0,32.0,32.0,31.0,34.0,34.0,33.0,33.0,34.0,35.0,36.0,36.0,36.0
mtheory,31.0,30,29.0,28.0,28.0,28.0,28.0,35.0,36.0,34.0,33.0,31.0,31.0,30.0,29.0,29.0,29.0,33.0,35.0,36.0,35.0,36.0,38.0,38.0,35.0,36.0
heisenberg,32.0,32,33.0,33.0,34.0,30.0,28.0,30.0,31.0,31.0,32.0,33.0,34.0,37.0,40.0,41.0,38.0,42.0,42.0,37.0,38.0,38.0,39.0,38.0,39.0,35.0
higherspin,54.0,49,49.0,49.0,50.0,51.0,43.0,46.0,50.0,47.0,41.0,41.0,39.0,38.0,40.0,40.0,40.0,37.0,37.0,37.0,34.0,34.0,34.0,35.0,38.0,35.0
bh,59.0,58,57.0,53.0,53.0,49.0,42.0,38.0,39.0,39.0,39.0,36.0,33.0,33.0,39.0,39.0,43.0,41.0,35.0,30.0,35.0,35.0,36.0,37.0,37.0,35.0
cohomology,46.0,43,40.0,41.0,37.0,38.0,33.0,41.0,38.0,37.0,38.0,33.0,33.0,32.0,33.0,32.0,33.0,35.0,34.0,32.0,31.0,35.0,35.0,35.0,35.0,35.0
onedimensional,39.0,39,40.0,41.0,42.0,44.0,45.0,43.0,45.0,43.0,43.0,41.0,39.0,41.0,41.0,40.0,41.0,42.0,43.0,42.0,41.0,40.0,39.0,39.0,39.0,34.0
superfield,44.0,47,48.0,44.0,47.0,48.0,51.0,50.0,51.0,50.0,52.0,53.0,52.0,52.0,52.0,52.0,46.0,46.0,45.0,45.0,41.0,40.0,38.0,34.0,34.0,34.0
majorana,60.0,60,63.0,67.0,64.0,67.0,63.0,64.0,60.0,59.0,53.0,52.0,56.0,43.0,43.0,42.0,35.0,36.0,36.0,35.0,30.0,31.0,34.0,32.0,31.0,34.0
resummation,13.0,15,15.0,14.0,12.0,17.0,17.0,19.0,19.0,19.0,22.0,22.0,22.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,34.0,33.0,33.0
kk,9.0,10,13.0,13.0,13.0,13.0,12.0,12.0,16.0,16.0,17.0,15.0,17.0,17.0,15.0,19.0,23.0,23.0,23.0,23.0,23.0,29.0,35.0,33.0,33.0,33.0
gapless,40.0,39,38.0,38.0,45.0,48.0,44.0,41.0,42.0,41.0,37.0,36.0,34.0,34.0,35.0,35.0,34.0,30.0,28.0,27.0,28.0,31.0,31.0,31.0,33.0,33.0
lightcone,29.0,27,25.0,23.0,22.0,25.0,25.0,25.0,26.0,26.0,27.0,25.0,25.0,25.0,25.0,26.0,26.0,25.0,26.0,26.0,25.0,24.0,26.0,33.0,35.0,32.0
instantons,36.0,36,39.0,39.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,39.0,36.0,36.0,35.0,35.0,35.0,37.0,36.0,38.0,38.0,38.0,37.0,35.0,34.0,32.0
higherorder,28.0,24,24.0,25.0,27.0,26.0,25.0,25.0,23.0,23.0,20.0,20.0,19.0,21.0,20.0,18.0,19.0,21.0,21.0,22.0,26.0,25.0,25.0,28.0,31.0,32.0
poisson,14.0,17,16.0,16.0,16.0,16.0,15.0,18.0,18.0,17.0,18.0,17.0,18.0,18.0,18.0,22.0,22.0,22.0,21.0,22.0,24.0,26.0,26.0,31.0,30.0,32.0
regge,41.0,36,37.0,37.0,37.0,36.0,37.0,39.0,38.0,38.0,38.0,38.0,33.0,34.0,30.0,30.0,32.0,35.0,33.0,33.0,33.0,29.0,30.0,29.0,30.0,32.0
blackhole,40.0,39,38.0,34.0,34.0,33.0,33.0,30.0,30.0,28.0,28.0,19.0,25.0,25.0,23.0,22.0,26.0,26.0,27.0,30.0,32.0,34.0,28.0,30.0,29.0,32.0
yukawa,37.0,39,41.0,39.0,39.0,37.0,34.0,37.0,33.0,32.0,30.0,26.0,26.0,26.0,29.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,28.0,30.0,34.0,31.0
decoupling,23.0,23,21.0,22.0,23.0,21.0,25.0,26.0,28.0,30.0,30.0,30.0,33.0,32.0,32.0,33.0,31.0,32.0,30.0,30.0,36.0,36.0,35.0,35.0,32.0,31.0
compactified,28.0,28,27.0,33.0,31.0,33.0,31.0,31.0,32.0,32.0,32.0,31.0,29.0,28.0,28.0,30.0,30.0,30.0,29.0,29.0,31.0,33.0,32.0,32.0,32.0,31.0
bhs,13.0,13,13.0,13.0,13.0,13.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,19.0,18.0,17.0,15.0,20.0,20.0,20.0,29.0,29.0,31.0
lifshitz,40.0,40,44.0,46.0,46.0,46.0,47.0,47.0,44.0,40.0,45.0,41.0,39.0,40.0,40.0,33.0,35.0,38.0,34.0,34.0,35.0,35.0,33.0,30.0,31.0,30.0
mathcal,52.0,54,54.0,51.0,46.0,42.0,39.0,45.0,44.0,44.0,44.0,39.0,39.0,41.0,42.0,42.0,41.0,41.0,42.0,40.0,40.0,40.0,44.0,46.0,30.0,30.0
gw,21.0,20,20.0,20.0,20.0,20.0,20.0,20.0,24.0,24.0,21.0,22.0,19.0,19.0,21.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,36.0,28.0,30.0
superalgebra,22.0,21,19.0,19.0,18.0,20.0,21.0,21.0,19.0,19.0,19.0,22.0,24.0,24.0,23.0,25.0,25.0,25.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,30.0
btz,45.0,45,41.0,40.0,37.0,39.0,39.0,38.0,39.0,38.0,39.0,38.0,37.0,36.0,37.0,30.0,31.0,33.0,33.0,31.0,25.0,27.0,29.0,31.0,26.0,30.0
powerlaw,36.0,36,40.0,39.0,37.0,38.0,38.0,38.0,38.0,37.0,36.0,35.0,34.0,31.0,31.0,36.0,37.0,34.0,33.0,33.0,34.0,34.0,34.0,32.0,32.0,29.0
