,2017-11-06,2017-11-13,2017-11-20,2017-11-27,2017-12-04,2017-12-11,2017-12-18,2017-12-25,2018-01-01,2018-01-08,2018-01-15,2018-01-22,2018-01-29,2018-02-05,2018-02-12,2018-02-19,2018-02-26,2018-03-05,2018-03-12,2018-03-19,2018-03-26,2018-04-02,2018-04-09,2018-04-16,2018-04-23,2018-04-30
nonnegative,16.0,16,16.0,15.0,14.0,13.0,14.0,13.0,12.0,11.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0
particlehole,6.0,7,7.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,6.0,6.0
hightemperature,3.0,3,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0
fieldtheoretic,5.0,5,6.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0
munu,6.0,6,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,6.0,6.0
linearised,6.0,6,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0
transplanckian,5.0,6,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0
langlands,14.0,14,14.0,14.0,15.0,15.0,15.0,16.0,16.0,13.0,13.0,13.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0
reissnernordstr,7.0,7,6.0,6.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0
matterdominated,6.0,6,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0
nambugoto,8.0,8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,8.0,5.0
generalise,12.0,12,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,8.0,8.0,7.0,7.0,5.0
dyson,6.0,6,6.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,5.0
held,6.0,5,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0
qubit,7.0,7,5.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,5.0
longstanding,7.0,8,8.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0
quarkantiquark,9.0,9,9.0,9.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
bunchdavies,6.0,7,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
orientifold,13.0,13,14.0,15.0,16.0,16.0,16.0,14.0,14.0,13.0,13.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0
oneparticle,10.0,10,11.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0
anomalyfree,6.0,5,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0
vasiliev,20.0,20,18.0,18.0,18.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0
equiv,8.0,7,7.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0
supermassive,7.0,7,5.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0
dysonschwinger,7.0,7,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0
parityodd,6.0,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,9.0,9.0,7.0,7.0,6.0,5.0,5.0,5.0
tachyons,6.0,6,6.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0
nf,9.0,9,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,5.0,5.0,5.0,5.0
eos,12.0,12,13.0,15.0,15.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,9.0,8.0,10.0,10.0,5.0,5.0,5.0,5.0
vectorlike,9.0,9,8.0,8.0,8.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0
exceeds,10.0,10,12.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0
ultrarelativistic,7.0,7,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0
propto,7.0,7,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
benchmark,7.0,7,7.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
orientifolds,6.0,6,6.0,7.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
finitetemperature,6.0,6,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
stresstensor,7.0,8,8.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
noninteger,8.0,8,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mp,11.0,11,11.0,11.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
abj,10.0,10,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
stabilisation,5.0,6,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
vs,10.0,10,10.0,10.0,10.0,9.0,9.0,9.0,7.0,7.0,7.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
weakfield,7.0,4,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
teleportation,7.0,7,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0
verlinde,10.0,9,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0
einsteingaussbonnet,9.0,8,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
nearzero,8.0,8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
kalbramond,8.0,8,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0
hadamard,8.0,9,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0
halfmaximal,10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,8.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,5.0,5.0,5.0
axionlike,11.0,11,11.0,11.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0
threesphere,9.0,9,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0
xu,6.0,6,6.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0
einsteinyangmills,6.0,5,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
klein,13.0,13,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,6.0,7.0,7.0,6.0,6.0,4.0,3.0,3.0,4.0,4.0,5.0
nlsm,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0
algebroids,7.0,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,4.0
quasitopological,13.0,13,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,4.0
gaiotto,7.0,7,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0
adm,8.0,7,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,5.0,4.0
weakcoupling,9.0,4,4.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0
continuousspin,8.0,8,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,4.0,4.0
navierstokes,9.0,9,9.0,9.0,9.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0
glauber,8.0,8,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,5.0,5.0,5.0,4.0,4.0
ambitwistor,15.0,14,13.0,13.0,14.0,14.0,17.0,17.0,17.0,13.0,13.0,13.0,12.0,9.0,9.0,9.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
vevs,7.0,7,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
hartlehawking,11.0,11,12.0,12.0,13.0,13.0,13.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
postnewtonian,14.0,14,13.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,4.0,4.0,4.0
combinatorics,7.0,7,7.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
noboundary,8.0,8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,4.0
osp,9.0,8,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,4.0,4.0,4.0,4.0
syklike,7.0,7,7.0,7.0,8.0,7.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0
tdual,6.0,6,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
supermanifolds,8.0,8,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
quantumgravity,4.0,4,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
kitaev,8.0,8,8.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
rightarrow,8.0,8,7.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
deeper,9.0,9,8.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0
characterise,8.0,8,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
postinflationary,8.0,7,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
fivebranes,6.0,6,6.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0
montecarlo,9.0,4,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0
cachazoheyuan,10.0,10,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0
leeyang,7.0,7,6.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
antiparticles,4.0,4,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
cf,24.0,23,22.0,22.0,21.0,21.0,21.0,21.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,10.0,10.0,7.0,7.0,3.0
smarr,14.0,12,12.0,13.0,13.0,12.0,10.0,10.0,11.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,3.0,3.0
wider,8.0,7,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,3.0,3.0
antiquark,8.0,8,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0
quarkonium,8.0,8,11.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
npoint,11.0,10,9.0,8.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
bcfw,12.0,13,13.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0
veneziano,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,4.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0
zerotemperature,11.0,10,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
bcj,8.0,8,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0
meanfield,13.0,13,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,11.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0
gedanken,8.0,9,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
supermatrix,7.0,7,7.0,7.0,7.0,8.0,8.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
lv,14.0,14,14.0,14.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gb,12.0,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0
phonons,10.0,10,11.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0
swave,13.0,13,13.0,13.0,13.0,13.0,12.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0
leibniz,10.0,10,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
parketaylor,12.0,12,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,6.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0
sugra,11.0,11,11.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
heun,9.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
rmatrix,16.0,12,11.0,9.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ew,11.0,11,10.0,11.0,11.0,12.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
parityviolating,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
multitrace,11.0,12,12.0,12.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0
kaehler,12.0,12,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,11.0,8.0,8.0,8.0,8.0,5.0,1.0,1.0,1.0
backreacted,14.0,12,11.0,11.0,10.0,10.0,9.0,9.0,7.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
godeltype,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pidm,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
higgsplosion,15.0,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
pn,11.0,11,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anapole,11.0,11,11.0,11.0,11.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
