,2017-11-06 00:00:00,2017-11-13 00:00:00,2017-11-20 00:00:00,2017-11-27 00:00:00,2017-12-04 00:00:00,2017-12-11 00:00:00,2017-12-18 00:00:00,2017-12-25 00:00:00,2018-01-01 00:00:00,2018-01-08 00:00:00,2018-01-15 00:00:00,2018-01-22 00:00:00,2018-01-29 00:00:00,2018-02-05 00:00:00,2018-02-12 00:00:00,2018-02-19 00:00:00,2018-02-26 00:00:00,2018-03-05 00:00:00,2018-03-12 00:00:00,2018-03-19 00:00:00,2018-03-26 00:00:00,2018-04-02 00:00:00,2018-04-09 00:00:00,2018-04-16 00:00:00,2018-04-23 00:00:00,2018-04-30 00:00:00,total
instanton,48.0,46,53.0,55.0,59.0,62.0,63.0,63.0,63.0,64.0,68.0,65.0,64.0,61.0,60.0,62.0,61.0,64.0,64.0,67.0,68.0,69.0,67.0,67.0,67.0,71.0,120
lowenergy,64.0,66,67.0,67.0,69.0,69.0,65.0,67.0,63.0,62.0,65.0,64.0,63.0,61.0,59.0,59.0,60.0,58.0,54.0,54.0,56.0,56.0,53.0,53.0,58.0,57.0,120
poincare,51.0,51,49.0,52.0,54.0,53.0,57.0,58.0,57.0,57.0,61.0,60.0,57.0,64.0,58.0,56.0,56.0,55.0,52.0,51.0,52.0,57.0,64.0,66.0,69.0,68.0,119
baryon,52.0,55,62.0,62.0,62.0,52.0,49.0,58.0,62.0,59.0,55.0,53.0,54.0,55.0,60.0,64.0,66.0,61.0,61.0,61.0,64.0,66.0,67.0,66.0,68.0,67.0,119
brst,51.0,50,56.0,57.0,55.0,56.0,61.0,61.0,61.0,62.0,63.0,59.0,59.0,62.0,62.0,66.0,63.0,65.0,65.0,68.0,70.0,69.0,69.0,53.0,54.0,61.0,117
holography,60.0,58,58.0,59.0,60.0,63.0,60.0,61.0,63.0,62.0,61.0,59.0,58.0,59.0,56.0,58.0,60.0,56.0,55.0,55.0,50.0,55.0,58.0,57.0,56.0,56.0,117
earlier,43.0,44,47.0,46.0,48.0,49.0,49.0,50.0,52.0,52.0,51.0,50.0,51.0,51.0,54.0,53.0,55.0,58.0,62.0,61.0,61.0,63.0,63.0,64.0,68.0,68.0,117
iib,53.0,57,60.0,60.0,60.0,59.0,66.0,70.0,70.0,72.0,70.0,71.0,72.0,72.0,72.0,74.0,75.0,75.0,68.0,72.0,73.0,72.0,73.0,72.0,70.0,66.0,117
kahler,53.0,56,56.0,59.0,63.0,64.0,57.0,58.0,58.0,58.0,56.0,59.0,56.0,56.0,54.0,51.0,47.0,47.0,45.0,46.0,50.0,52.0,47.0,55.0,57.0,61.0,117
kerr,48.0,50,47.0,44.0,46.0,42.0,43.0,46.0,47.0,45.0,45.0,41.0,43.0,44.0,45.0,44.0,45.0,43.0,48.0,54.0,55.0,51.0,53.0,59.0,66.0,67.0,109
antide,58.0,60,59.0,57.0,58.0,59.0,58.0,57.0,61.0,60.0,57.0,61.0,60.0,62.0,60.0,59.0,60.0,56.0,51.0,53.0,50.0,48.0,48.0,50.0,50.0,48.0,108
energymomentum,49.0,46,46.0,53.0,54.0,55.0,53.0,53.0,53.0,53.0,50.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,53.0,54.0,52.0,58.0,59.0,58.0,56.0,105
slowroll,51.0,51,51.0,53.0,52.0,53.0,52.0,56.0,59.0,56.0,54.0,51.0,50.0,50.0,52.0,54.0,56.0,54.0,50.0,48.0,49.0,48.0,48.0,51.0,56.0,54.0,103
quasinormal,49.0,52,50.0,50.0,49.0,54.0,55.0,60.0,63.0,62.0,65.0,59.0,59.0,60.0,56.0,54.0,57.0,54.0,47.0,48.0,52.0,56.0,58.0,59.0,61.0,59.0,102
gluon,56.0,57,52.0,49.0,49.0,48.0,41.0,40.0,41.0,42.0,42.0,41.0,38.0,41.0,40.0,40.0,43.0,40.0,41.0,44.0,45.0,40.0,44.0,43.0,46.0,46.0,102
compactifications,53.0,54,53.0,53.0,53.0,51.0,54.0,67.0,63.0,61.0,60.0,56.0,55.0,55.0,54.0,57.0,54.0,53.0,50.0,52.0,55.0,56.0,55.0,53.0,50.0,50.0,101
fourpoint,41.0,44,52.0,54.0,53.0,57.0,57.0,59.0,57.0,58.0,58.0,57.0,58.0,59.0,60.0,61.0,58.0,60.0,61.0,57.0,60.0,62.0,64.0,66.0,61.0,58.0,100
spinors,49.0,46,46.0,46.0,44.0,42.0,42.0,42.0,42.0,41.0,40.0,40.0,52.0,50.0,52.0,57.0,58.0,64.0,60.0,60.0,60.0,61.0,62.0,61.0,57.0,54.0,99
worldsheet,47.0,56,57.0,61.0,59.0,57.0,58.0,60.0,60.0,60.0,58.0,57.0,57.0,56.0,56.0,55.0,55.0,53.0,52.0,54.0,54.0,57.0,57.0,54.0,49.0,55.0,98
lowest,52.0,55,55.0,56.0,52.0,49.0,49.0,46.0,48.0,48.0,49.0,46.0,45.0,46.0,48.0,48.0,49.0,50.0,46.0,46.0,46.0,48.0,46.0,44.0,44.0,42.0,97
timedependent,43.0,37,39.0,41.0,36.0,36.0,35.0,42.0,43.0,44.0,44.0,42.0,42.0,45.0,44.0,47.0,48.0,48.0,49.0,55.0,53.0,50.0,50.0,51.0,53.0,55.0,96
tduality,50.0,49,45.0,44.0,44.0,46.0,50.0,50.0,46.0,44.0,44.0,44.0,41.0,41.0,40.0,38.0,40.0,39.0,40.0,46.0,50.0,49.0,49.0,50.0,46.0,45.0,96
qed,43.0,38,40.0,40.0,37.0,36.0,34.0,38.0,40.0,42.0,38.0,39.0,41.0,44.0,46.0,48.0,49.0,47.0,49.0,50.0,49.0,49.0,48.0,48.0,52.0,54.0,96
compactification,44.0,43,44.0,44.0,45.0,43.0,47.0,47.0,46.0,41.0,40.0,38.0,41.0,41.0,40.0,42.0,41.0,41.0,49.0,51.0,54.0,56.0,53.0,52.0,54.0,52.0,96
majorana,60.0,60,63.0,67.0,64.0,67.0,63.0,64.0,60.0,59.0,53.0,52.0,56.0,43.0,43.0,42.0,35.0,36.0,36.0,35.0,30.0,31.0,34.0,32.0,31.0,34.0,95
hooft,37.0,41,44.0,44.0,51.0,47.0,48.0,47.0,44.0,46.0,46.0,46.0,44.0,43.0,45.0,50.0,50.0,52.0,54.0,54.0,57.0,57.0,59.0,60.0,59.0,58.0,94
bh,59.0,58,57.0,53.0,53.0,49.0,42.0,38.0,39.0,39.0,39.0,36.0,33.0,33.0,39.0,39.0,43.0,41.0,35.0,30.0,35.0,35.0,36.0,37.0,37.0,35.0,94
gravitons,53.0,54,57.0,58.0,60.0,59.0,56.0,55.0,55.0,55.0,57.0,51.0,50.0,51.0,48.0,46.0,48.0,45.0,43.0,43.0,40.0,40.0,45.0,44.0,42.0,41.0,92
onshell,38.0,38,41.0,39.0,40.0,40.0,42.0,48.0,51.0,51.0,51.0,49.0,49.0,50.0,53.0,56.0,57.0,51.0,50.0,50.0,52.0,51.0,52.0,53.0,51.0,52.0,91
fermi,33.0,36,37.0,36.0,39.0,39.0,33.0,41.0,41.0,41.0,44.0,45.0,43.0,43.0,45.0,45.0,45.0,45.0,47.0,47.0,48.0,47.0,51.0,52.0,58.0,58.0,91
offshell,48.0,45,48.0,50.0,51.0,52.0,49.0,51.0,50.0,45.0,45.0,45.0,43.0,41.0,42.0,39.0,41.0,43.0,45.0,46.0,47.0,46.0,43.0,41.0,40.0,40.0,91
sym,39.0,38,42.0,40.0,40.0,42.0,40.0,44.0,43.0,43.0,43.0,42.0,42.0,41.0,44.0,46.0,49.0,51.0,50.0,50.0,49.0,49.0,50.0,54.0,51.0,52.0,89
superstring,40.0,38,39.0,43.0,42.0,38.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,45.0,48.0,52.0,51.0,44.0,50.0,49.0,51.0,48.0,45.0,49.0,49.0,89
ftheory,45.0,45,47.0,48.0,48.0,47.0,47.0,52.0,42.0,39.0,39.0,40.0,42.0,43.0,43.0,43.0,47.0,47.0,46.0,52.0,50.0,50.0,46.0,44.0,45.0,44.0,88
horndeski,46.0,43,45.0,43.0,44.0,44.0,42.0,42.0,44.0,45.0,40.0,37.0,42.0,42.0,39.0,39.0,38.0,39.0,38.0,38.0,45.0,44.0,45.0,47.0,42.0,39.0,87
wellknown,37.0,35,35.0,33.0,33.0,34.0,37.0,35.0,35.0,35.0,34.0,34.0,35.0,39.0,40.0,41.0,43.0,41.0,43.0,43.0,40.0,41.0,42.0,46.0,48.0,48.0,87
manybody,47.0,48,52.0,47.0,46.0,49.0,51.0,52.0,52.0,50.0,54.0,54.0,54.0,57.0,57.0,57.0,57.0,57.0,56.0,58.0,57.0,52.0,41.0,39.0,39.0,38.0,86
simplest,46.0,46,48.0,50.0,50.0,50.0,49.0,49.0,48.0,47.0,47.0,47.0,47.0,47.0,48.0,52.0,49.0,50.0,45.0,46.0,45.0,42.0,42.0,40.0,40.0,40.0,86
orbifold,45.0,45,47.0,46.0,47.0,49.0,48.0,51.0,52.0,53.0,52.0,49.0,47.0,44.0,42.0,41.0,41.0,37.0,36.0,36.0,37.0,33.0,37.0,40.0,42.0,41.0,86
generalised,59.0,56,56.0,55.0,52.0,55.0,54.0,52.0,54.0,51.0,50.0,48.0,46.0,48.0,43.0,44.0,42.0,39.0,39.0,38.0,36.0,32.0,32.0,29.0,31.0,27.0,86
ricci,34.0,36,37.0,38.0,38.0,38.0,37.0,40.0,46.0,45.0,41.0,45.0,43.0,46.0,45.0,45.0,43.0,43.0,43.0,42.0,41.0,42.0,47.0,47.0,49.0,52.0,84
electroweak,40.0,41,46.0,48.0,43.0,43.0,40.0,38.0,40.0,39.0,39.0,38.0,34.0,33.0,32.0,32.0,34.0,39.0,40.0,35.0,40.0,38.0,36.0,35.0,37.0,40.0,84
gaussbonnet,44.0,35,35.0,35.0,37.0,45.0,45.0,43.0,40.0,40.0,39.0,39.0,37.0,40.0,38.0,36.0,34.0,35.0,36.0,37.0,32.0,32.0,36.0,37.0,37.0,37.0,82
scalartensor,31.0,33,37.0,38.0,39.0,42.0,44.0,45.0,45.0,42.0,43.0,41.0,43.0,43.0,43.0,43.0,47.0,47.0,48.0,50.0,50.0,50.0,55.0,54.0,49.0,49.0,81
cohomology,46.0,43,40.0,41.0,37.0,38.0,33.0,41.0,38.0,37.0,38.0,33.0,33.0,32.0,33.0,32.0,33.0,35.0,34.0,32.0,31.0,35.0,35.0,35.0,35.0,35.0,81
higherspin,54.0,49,49.0,49.0,50.0,51.0,43.0,46.0,50.0,47.0,41.0,41.0,39.0,38.0,40.0,40.0,40.0,37.0,37.0,37.0,34.0,34.0,34.0,35.0,38.0,35.0,81
firstorder,39.0,38,39.0,39.0,38.0,37.0,39.0,42.0,41.0,42.0,36.0,35.0,35.0,34.0,33.0,36.0,35.0,38.0,40.0,37.0,39.0,38.0,38.0,39.0,44.0,43.0,80
scfts,17.0,19,17.0,18.0,21.0,28.0,27.0,28.0,29.0,30.0,37.0,35.0,35.0,33.0,33.0,36.0,37.0,44.0,44.0,44.0,46.0,46.0,46.0,55.0,56.0,60.0,80
treelevel,42.0,42,40.0,42.0,43.0,42.0,40.0,41.0,37.0,38.0,37.0,37.0,38.0,37.0,39.0,40.0,42.0,43.0,43.0,43.0,43.0,43.0,42.0,40.0,37.0,40.0,80
mathcal,52.0,54,54.0,51.0,46.0,42.0,39.0,45.0,44.0,44.0,44.0,39.0,39.0,41.0,42.0,42.0,41.0,41.0,42.0,40.0,40.0,40.0,44.0,46.0,30.0,30.0,80
btz,45.0,45,41.0,40.0,37.0,39.0,39.0,38.0,39.0,38.0,39.0,38.0,37.0,36.0,37.0,30.0,31.0,33.0,33.0,31.0,25.0,27.0,29.0,31.0,26.0,30.0,78
superfield,44.0,47,48.0,44.0,47.0,48.0,51.0,50.0,51.0,50.0,52.0,53.0,52.0,52.0,52.0,52.0,46.0,46.0,45.0,45.0,41.0,40.0,38.0,34.0,34.0,34.0,78
virasoro,38.0,37,34.0,35.0,35.0,38.0,39.0,45.0,45.0,45.0,45.0,41.0,36.0,35.0,34.0,33.0,34.0,34.0,32.0,32.0,32.0,34.0,37.0,37.0,38.0,36.0,77
ising,41.0,41,38.0,36.0,39.0,41.0,39.0,42.0,38.0,38.0,38.0,31.0,33.0,33.0,40.0,40.0,41.0,42.0,41.0,39.0,39.0,41.0,39.0,37.0,37.0,37.0,77
renyi,45.0,45,48.0,46.0,42.0,42.0,41.0,39.0,31.0,31.0,30.0,30.0,30.0,28.0,28.0,24.0,28.0,28.0,31.0,28.0,28.0,20.0,21.0,21.0,21.0,24.0,75
backreaction,48.0,48,44.0,44.0,43.0,43.0,45.0,48.0,47.0,44.0,44.0,41.0,38.0,36.0,33.0,29.0,29.0,28.0,27.0,27.0,30.0,27.0,29.0,32.0,30.0,28.0,75
iia,32.0,30,30.0,33.0,36.0,33.0,37.0,41.0,41.0,41.0,40.0,36.0,34.0,39.0,39.0,46.0,46.0,45.0,42.0,44.0,43.0,44.0,43.0,43.0,41.0,42.0,74
gaugeinvariant,38.0,39,39.0,40.0,41.0,38.0,39.0,40.0,42.0,41.0,41.0,42.0,42.0,42.0,43.0,42.0,44.0,42.0,42.0,45.0,44.0,45.0,37.0,40.0,40.0,38.0,74
superpotential,28.0,27,27.0,27.0,39.0,42.0,42.0,44.0,42.0,41.0,40.0,40.0,36.0,36.0,36.0,36.0,36.0,39.0,41.0,40.0,42.0,44.0,45.0,43.0,44.0,46.0,74
schrodinger,28.0,28,27.0,25.0,24.0,26.0,27.0,28.0,26.0,27.0,28.0,28.0,30.0,32.0,38.0,38.0,39.0,40.0,43.0,45.0,46.0,46.0,45.0,46.0,46.0,46.0,74
lifshitz,40.0,40,44.0,46.0,46.0,46.0,47.0,47.0,44.0,40.0,45.0,41.0,39.0,40.0,40.0,33.0,35.0,38.0,34.0,34.0,35.0,35.0,33.0,30.0,31.0,30.0,74
witten,48.0,47,45.0,45.0,41.0,43.0,44.0,46.0,46.0,45.0,42.0,42.0,37.0,36.0,37.0,39.0,35.0,33.0,34.0,33.0,33.0,31.0,33.0,34.0,31.0,29.0,74
twoloop,34.0,37,36.0,36.0,37.0,38.0,38.0,40.0,40.0,40.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,43.0,42.0,38.0,35.0,36.0,33.0,38.0,37.0,38.0,73
onedimensional,39.0,39,40.0,41.0,42.0,44.0,45.0,43.0,45.0,43.0,43.0,41.0,39.0,41.0,41.0,40.0,41.0,42.0,43.0,42.0,41.0,40.0,39.0,39.0,39.0,34.0,73
gapless,40.0,39,38.0,38.0,45.0,48.0,44.0,41.0,42.0,41.0,37.0,36.0,34.0,34.0,35.0,35.0,34.0,30.0,28.0,27.0,28.0,31.0,31.0,31.0,33.0,33.0,73
blackhole,40.0,39,38.0,34.0,34.0,33.0,33.0,30.0,30.0,28.0,28.0,19.0,25.0,25.0,23.0,22.0,26.0,26.0,27.0,30.0,32.0,34.0,28.0,30.0,29.0,32.0,72
lorentzian,33.0,37,38.0,37.0,38.0,38.0,40.0,41.0,39.0,38.0,40.0,40.0,43.0,45.0,45.0,43.0,43.0,41.0,39.0,40.0,39.0,39.0,40.0,38.0,37.0,38.0,72
gr,29.0,29,35.0,29.0,34.0,31.0,30.0,30.0,30.0,29.0,27.0,27.0,27.0,29.0,30.0,29.0,28.0,29.0,29.0,29.0,29.0,29.0,41.0,44.0,44.0,44.0,72
regge,41.0,36,37.0,37.0,37.0,36.0,37.0,39.0,38.0,38.0,38.0,38.0,33.0,34.0,30.0,30.0,32.0,35.0,33.0,33.0,33.0,29.0,30.0,29.0,30.0,32.0,71
mtheory,31.0,30,29.0,28.0,28.0,28.0,28.0,35.0,36.0,34.0,33.0,31.0,31.0,30.0,29.0,29.0,29.0,33.0,35.0,36.0,35.0,36.0,38.0,38.0,35.0,36.0,70
qft,17.0,19,20.0,22.0,26.0,28.0,32.0,41.0,39.0,37.0,37.0,37.0,35.0,35.0,35.0,40.0,41.0,45.0,46.0,45.0,46.0,47.0,45.0,50.0,49.0,53.0,70
superspace,30.0,31,26.0,29.0,29.0,28.0,34.0,32.0,35.0,29.0,28.0,28.0,30.0,30.0,31.0,31.0,32.0,36.0,32.0,33.0,35.0,36.0,36.0,37.0,38.0,39.0,70
superfields,41.0,40,38.0,40.0,41.0,43.0,45.0,43.0,42.0,39.0,39.0,38.0,34.0,35.0,35.0,35.0,36.0,37.0,36.0,37.0,33.0,31.0,31.0,26.0,28.0,29.0,70
et,31.0,33,30.0,31.0,32.0,32.0,32.0,31.0,32.0,34.0,35.0,33.0,32.0,34.0,37.0,37.0,40.0,42.0,39.0,41.0,42.0,42.0,41.0,41.0,39.0,39.0,70
sm,18.0,16,19.0,22.0,23.0,22.0,18.0,18.0,20.0,20.0,30.0,30.0,30.0,32.0,35.0,35.0,36.0,36.0,36.0,38.0,52.0,52.0,54.0,54.0,52.0,52.0,70
spacelike,24.0,26,27.0,25.0,26.0,29.0,29.0,28.0,31.0,35.0,35.0,33.0,32.0,32.0,29.0,31.0,33.0,37.0,39.0,37.0,36.0,39.0,39.0,45.0,47.0,46.0,70
fivedimensional,38.0,36,35.0,34.0,37.0,38.0,36.0,37.0,39.0,39.0,40.0,38.0,34.0,34.0,35.0,35.0,38.0,34.0,33.0,31.0,31.0,32.0,31.0,32.0,31.0,29.0,69
heisenberg,32.0,32,33.0,33.0,34.0,30.0,28.0,30.0,31.0,31.0,32.0,33.0,34.0,37.0,40.0,41.0,38.0,42.0,42.0,37.0,38.0,38.0,39.0,38.0,39.0,35.0,69
noncompact,40.0,39,39.0,38.0,35.0,34.0,31.0,33.0,32.0,27.0,32.0,31.0,31.0,32.0,32.0,32.0,33.0,30.0,31.0,28.0,29.0,28.0,25.0,25.0,26.0,26.0,69
kaluzaklein,24.0,27,27.0,28.0,29.0,30.0,30.0,29.0,32.0,34.0,35.0,38.0,38.0,38.0,36.0,38.0,42.0,43.0,42.0,41.0,39.0,39.0,42.0,42.0,41.0,42.0,68
yukawa,37.0,39,41.0,39.0,39.0,37.0,34.0,37.0,33.0,32.0,30.0,26.0,26.0,26.0,29.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,28.0,30.0,34.0,31.0,68
powerlaw,36.0,36,40.0,39.0,37.0,38.0,38.0,38.0,38.0,37.0,36.0,35.0,34.0,31.0,31.0,36.0,37.0,34.0,33.0,33.0,34.0,34.0,34.0,32.0,32.0,29.0,66
frac,24.0,24,24.0,24.0,24.0,17.0,17.0,19.0,18.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,46.0,47.0,47.0,41.0,41.0,40.0,40.0,40.0,41.0,42.0,66
unruh,27.0,24,24.0,24.0,24.0,24.0,24.0,26.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,23.0,17.0,21.0,23.0,23.0,29.0,32.0,30.0,38.0,65
emph,25.0,25,25.0,24.0,24.0,20.0,22.0,24.0,22.0,22.0,23.0,29.0,31.0,31.0,38.0,35.0,37.0,37.0,37.0,35.0,33.0,33.0,33.0,38.0,40.0,39.0,65
renormalisation,24.0,23,38.0,39.0,41.0,40.0,41.0,41.0,43.0,43.0,43.0,46.0,47.0,40.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,39.0,35.0,37.0,64
mathbb,44.0,43,49.0,49.0,48.0,38.0,37.0,38.0,37.0,36.0,36.0,35.0,35.0,31.0,32.0,32.0,30.0,29.0,27.0,27.0,27.0,27.0,23.0,23.0,21.0,20.0,64
iii,22.0,21,20.0,20.0,20.0,25.0,23.0,26.0,28.0,28.0,29.0,26.0,27.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0,34.0,36.0,36.0,36.0,40.0,40.0,63
lightcone,29.0,27,25.0,23.0,22.0,25.0,25.0,25.0,26.0,26.0,27.0,25.0,25.0,25.0,25.0,26.0,26.0,25.0,26.0,26.0,25.0,24.0,26.0,33.0,35.0,32.0,63
bf,41.0,41,41.0,38.0,41.0,41.0,38.0,38.0,37.0,36.0,35.0,34.0,23.0,24.0,22.0,23.0,22.0,22.0,22.0,22.0,22.0,20.0,19.0,19.0,17.0,19.0,62
instantons,36.0,36,39.0,39.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,39.0,36.0,36.0,35.0,35.0,35.0,37.0,36.0,38.0,38.0,38.0,37.0,35.0,34.0,32.0,62
noether,24.0,25,26.0,28.0,33.0,34.0,33.0,38.0,38.0,37.0,37.0,36.0,41.0,41.0,39.0,39.0,37.0,36.0,42.0,42.0,41.0,41.0,41.0,42.0,40.0,37.0,61
higherorder,28.0,24,24.0,25.0,27.0,26.0,25.0,25.0,23.0,23.0,20.0,20.0,19.0,21.0,20.0,18.0,19.0,21.0,21.0,22.0,26.0,25.0,25.0,28.0,31.0,32.0,61
galileon,38.0,37,30.0,30.0,30.0,30.0,30.0,30.0,41.0,39.0,37.0,35.0,32.0,27.0,29.0,30.0,31.0,31.0,29.0,31.0,31.0,31.0,28.0,26.0,24.0,23.0,61
timelike,21.0,21,17.0,17.0,17.0,20.0,19.0,21.0,24.0,26.0,26.0,28.0,30.0,30.0,29.0,29.0,32.0,33.0,32.0,31.0,35.0,37.0,37.0,37.0,39.0,37.0,60
